Term,Description
SULFATHIAZOLES,"Sulfanilamides consisting of  a 4-aminobenzenesulfonamido group at the 2-position of 1,3-thiazole. They are often used as ANTI-INFECTIVE AGENTS.
    "
SULFOGLYCOSPHINGOLIPIDS,"GLYCOSPHINGOLIPIDS with a sulfate group esterified to one of the sugar groups.
    "
SULFHEMOGLOBINEMIA,"A morbid condition due to the presence of sulfmethemoglobin in the blood. It is marked by persistent cyanosis, but the blood count does not reveal any special abnormality in the blood. It is thought to be caused by the action of hydrogen sulfide absorbed from the intestine. (Stedman, 25th ed)
    "
SULFIDES,"Chemical groups containing the covalent sulfur bonds -S-. The sulfur atom can be bound to inorganic or organic moieties.
    "
SULFINPYRAZONE,"A uricosuric drug that is used to reduce the serum urate levels in gout therapy. It lacks anti-inflammatory, analgesic, and diuretic properties.
    "
SULFISOMIDINE,"A sulfanilamide antibacterial agent.
    "
SULFISOXAZOLE,"A short-acting sulfonamide antibacterial with activity against a wide range of gram- negative and gram-positive organisms.
    "
SULFITES,"Inorganic salts of sulfurous acid.
    "
SULFOBROMOPHTHALEIN,"A phenolphthalein that is used as a diagnostic aid in hepatic function determination.
    "
SULFONAMIDES,"A group of compounds that contain the structure SO2NH2.
    "
SULFOXIDES,"Organic compounds that have the general formula R-SO-R. They are obtained by oxidation of mercaptans (analogous to the ketones). (From Hackh's Chemical Dictionary, 4th ed)
    "
SULFUR,"An element that is a member of the chalcogen family. It has an atomic symbol S, atomic number 16, and atomic weight [32.059; 32.076]. It is found in the amino acids cysteine and methionine.
    "
SULFURTRANSFERASES,"Enzymes which transfer sulfur atoms to various acceptor molecules. EC 2.8.1.
    "
SULINDAC,"A sulfinylindene derivative prodrug whose sulfinyl moiety is converted in vivo to an active NSAID analgesic. Specifically, the prodrug is converted by liver enzymes to a sulfide which is excreted in the bile and then reabsorbed from the intestine. This helps to maintain constant blood levels with reduced gastrointestinal side effects.
    "
SULOCTIDIL,"A peripheral vasodilator that was formerly used in the management of peripheral and cerebral vascular disorders. It is hepatotoxic and fatalities have occurred. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1312)
    "
SULPIRIDE,"A dopamine D2-receptor antagonist. It has been used therapeutically as an antidepressant, antipsychotic, and as a digestive aid. (From Merck Index, 11th ed)
    "
SUNBURN,"An injury to the skin causing erythema, tenderness, and sometimes blistering and resulting from excessive exposure to the sun. The reaction is produced by the ultraviolet radiation in sunlight.
    "
SUNLIGHT,"Irradiation directly from the sun.
    "
SUNSTROKE,"Heat stroke caused by exposure to the sun. It is characterized by dangerously high BODY TEMPERATURE; red, hot skin; DELUSIONS; CONVULSIONS; or COMA. It can be a life-threatening emergency and is most common in infants and the elderly.
    "
SUPEREGO,"The component of the personality associated with ethics, standards, and self-criticism - the conscience. It is derived mainly from identification with parents and parent substitutes.
    "
SUPERFETATION,"The FERTILIZATION of an OVUM that takes place when a FETUS is already present in the UTERUS. Superfetation results in an unusual PREGNANCY with fetuses of different ages and sizes developing in utero simultaneously.
    "
SUPEROVULATION,"Occurrence or induction of release of more ova than are normally released at the same time in a given species. The term applies to both animals and humans.
    "
SUPEROXIDES,"Highly reactive compounds produced when oxygen is reduced by a single electron. In biological systems, they may be generated during the normal catalytic function of a number of enzymes and during the oxidation of hemoglobin to METHEMOGLOBIN. In living organisms, SUPEROXIDE DISMUTASE protects the cell from the deleterious effects of superoxides.
    "
SUPERSTITIONS,"A belief or practice which lacks adequate basis for proof; an embodiment of fear of the unknown, magic, and ignorance.
    "
SUPINATION,"Applies to movements of the forearm in turning the palm forward or upward. When referring to the foot, a combination of adduction and inversion movements of the foot.
    "
SUPPOSITORIES,"Medicated dosage forms that are designed to be inserted into the rectal, vaginal, or urethral orifice of the body for absorption. Generally, the active ingredients are packaged in dosage forms containing fatty bases such as cocoa butter, hydrogenated oil, or glycerogelatin that are solid at room temperature but melt or dissolve at body temperature.
    "
SUPPURATION,"A pathologic process consisting in the formation of pus.
    "
SUPROFEN,"An IBUPROFEN-type anti-inflammatory analgesic and antipyretic. It inhibits prostaglandin synthesis and has been proposed as an anti-arthritic.
    "
SURAMIN,"A polyanionic compound with an unknown mechanism of action. It is used parenterally in the treatment of African trypanosomiasis and it has been used clinically with diethylcarbamazine to kill the adult Onchocerca. (From AMA Drug Evaluations Annual, 1992, p1643) It has also been shown to have potent antineoplastic properties.
    "
SURGICENTERS,"Facilities designed to serve patients who require surgical treatment exceeding the capabilities of usual physician's office yet not of such proportion as to require hospitalization.
    "
SURINAME,"A republic in the north of South America, bordered on the west by GUYANA (British Guiana) and on the east by FRENCH GUIANA. Its capital is Paramaribo. It was formerly called Netherlands Guiana or Dutch Guiana or Surinam. Suriname was first settled by the English in 1651 but was ceded to the Dutch by treaty in 1667. It became an autonomous territory under the Dutch crown in 1954 and gained independence in 1975. The country was named for the Surinam River but the meaning of that name is uncertain. (From Webster's New Geographical Dictionary, 1988, p1167 & Room, Brewer's Dictionary of Names, 1992, p526)
    "
SURVIVAL,"Continuance of life or existence especially under adverse conditions; includes methods and philosophy of survival.
    "
SUSPENSIONS,"Colloids with liquid continuous phase and solid dispersed phase; the term is used loosely also for solid-in-gas (AEROSOLS) and other colloidal systems; water-insoluble drugs may be given as suspensions.
    "
SUTURES,"Materials used in closing a surgical or traumatic wound. (From Dorland, 28th ed)
    "
SVALBARD,"Norwegian islands located in the Arctic Ocean, halfway between Norway and the North Pole
    "
SWAYBACK,"Congenital locomotor ataxia of lambs, thought to be associated with copper deficiency. It is characterized clinically by progressive incoordination of the hind limbs and pathologically by disruption of neuron and myelin development in the central nervous system. It is caused by a deficiency of metabolizable copper in the ewe during the last half of her pregnancy. (Dorland, 28th ed; Stedman, 26th ed)
    "
ESWATINI,"A kingdom in southern Africa, west of MOZAMBIQUE. Its capital is Mbabane. It became independent from Britain in 1968. The former country name Swaziland was changed in 2018. (from CIA World Factbook, 2019)
    "
SWEAT,"The fluid excreted by the SWEAT GLANDS. It consists of water containing sodium chloride, phosphate, urea, ammonia, and other waste products.
    "
SWEATING,"The process of exocrine secretion of the SWEAT GLANDS, including the aqueous sweat from the ECCRINE GLANDS and the complex viscous fluids of the APOCRINE GLANDS.
    "
SWEDEN,"Country in northern Europe, bordering the Baltic Sea, between Finland and Norway. The capital is Stockholm.
    "
SWIMMING,"An activity in which the body is propelled through water by specific movement of the arms and/or the legs. Swimming as propulsion through water by the movement of limbs, tail, or fins of animals is often studied as a form of PHYSICAL EXERTION or endurance.
    "
SWINE,"Any of various animals that constitute the family Suidae and comprise stout-bodied, short-legged omnivorous mammals with thick skin, usually covered with coarse bristles, a rather long mobile snout, and small tail. Included are the genera Babyrousa, Phacochoerus (wart hogs), and Sus, the latter containing the domestic pig (see SUS SCROFA).
    "
SWITZERLAND,"A country in Europe. It is bordered by Austria, France, Italy, Liechtenstein, and Germany. The capital is Bern.
    "
SYDNONES,"OXADIAZOLES bearing an oxygen at the 5-position. They are mesoionic, with delocalized positive and negative charges.
    "
SYMBIOSIS,"The relationship between two different species of organisms that are interdependent; each gains benefits from the other or a relationship between different species where both of the organisms in question benefit from the presence of the other.
    "
COMMENSALISM,"A form of symbiosis between two organisms of different species in which one of them benefits from the association whereas the other is largely unaffected or not significantly harmed or benefiting from the relationship.
    "
SYMBOLISM,"A concept that stands for or suggests something else by reason of its relationship, association, convention, or resemblance. The symbolism may be mental or a visible sign or representation. (From Webster, 3d ed)
    "
SYMPATHECTOMY,"The removal or interruption of some part of the sympathetic nervous system for therapeutic or research purposes.
    "
SYMPATHOLYTICS,"Drugs that inhibit the actions of the sympathetic nervous system by any mechanism. The most common of these are the ADRENERGIC ANTAGONISTS and drugs that deplete norepinephrine or reduce the release of transmitters from adrenergic postganglionic terminals (see ADRENERGIC AGENTS). Drugs that act in the central nervous system to reduce sympathetic activity (e.g., centrally acting alpha-2 adrenergic agonists, see ADRENERGIC ALPHA-AGONISTS) are included here.
    "
SYMPATHOMIMETICS,"Drugs that mimic the effects of stimulating postganglionic adrenergic sympathetic nerves. Included here are drugs that directly stimulate adrenergic receptors and drugs that act indirectly by provoking the release of adrenergic transmitters.
    "
SYMPHYSIOTOMY,"Surgical procedure to widen a woman's pelvis during childbirth.
    "
SYNAPSES,"Specialized junctions at which a neuron communicates with a target cell. At classical synapses, a neuron's presynaptic terminal releases a chemical transmitter stored in synaptic vesicles which diffuses across a narrow synaptic cleft and activates receptors on the postsynaptic membrane of the target cell. The target may be a dendrite, cell body, or axon of another neuron, or a specialized region of a muscle or secretory cell. Neurons may also communicate via direct electrical coupling with ELECTRICAL SYNAPSES. Several other non-synaptic chemical or electric signal transmitting processes occur via extracellular mediated interactions.
    "
